Date : 2021-09-10 10:04:08
Directory : d:\htlib\htlib\lib
Total : 153 files,  14120 codes, 487 comments, 1787 blanks, all 16394 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| d:\htlib\htlib\lib\_internal\utils\build_utils.dart                                                                | Dart     |         63 |          0 |         11 |         74 |
| d:\htlib\htlib\lib\_internal\utils\color_utils.dart                                                                | Dart     |         29 |          1 |          7 |         37 |
| d:\htlib\htlib\lib\_internal\utils\date_utils.dart                                                                 | Dart     |          4 |          0 |          2 |          6 |
| d:\htlib\htlib\lib\_internal\utils\file_utils.dart                                                                 | Dart     |         20 |         85 |          4 |        109 |
| d:\htlib\htlib\lib\_internal\utils\launcher_utils.dart                                                             | Dart     |          5 |          0 |          2 |          7 |
| d:\htlib\htlib\lib\_internal\utils\rest_utils.dart                                                                 | Dart     |         12 |          0 |          1 |         13 |
| d:\htlib\htlib\lib\_internal\utils\string_utils.dart                                                               | Dart     |         77 |          1 |         17 |         95 |
| d:\htlib\htlib\lib\_internal\utils\utils.dart                                                                      | Dart     |         39 |          0 |          8 |         47 |
| d:\htlib\htlib\lib\_internal\widget_view.dart                                                                      | Dart     |         11 |          0 |          6 |         17 |
| d:\htlib\htlib\lib\dev_app.dart                                                                                    | Dart     |        104 |          1 |          9 |        114 |
| d:\htlib\htlib\lib\injection.dart                                                                                  | Dart     |         51 |          0 |          7 |         58 |
| d:\htlib\htlib\lib\main.dart                                                                                       | Dart     |         11 |          0 |          6 |         17 |
| d:\htlib\htlib\lib\mode\dev.dart                                                                                   | Dart     |         11 |          0 |          6 |         17 |
| d:\htlib\htlib\lib\mode\mode.dart                                                                                  | Dart     |          1 |          0 |          1 |          2 |
| d:\htlib\htlib\lib\mode\product.dart                                                                               | Dart     |         14 |          0 |          6 |         20 |
| d:\htlib\htlib\lib\prod_app.dart                                                                                   | Dart     |        137 |          1 |         10 |        148 |
| d:\htlib\htlib\lib\resources\images.dart                                                                           | Dart     |          5 |          0 |          3 |          8 |
| d:\htlib\htlib\lib\resources\resources.dart                                                                        | Dart     |          1 |          0 |          1 |          2 |
| d:\htlib\htlib\lib\src\api\core\book_api.dart                                                                      | Dart     |          1 |          0 |          1 |          2 |
| d:\htlib\htlib\lib\src\api\core\crud_api.dart                                                                      | Dart     |         13 |          0 |          7 |         20 |
| d:\htlib\htlib\lib\src\api\firebase\admin_api.dart                                                                 | Dart     |        203 |          0 |         41 |        244 |
| d:\htlib\htlib\lib\src\api\firebase\book_api.dart                                                                  | Dart     |         84 |          0 |         19 |        103 |
| d:\htlib\htlib\lib\src\api\firebase\core\firebase_core_api.dart                                                    | Dart     |         34 |          0 |          6 |         40 |
| d:\htlib\htlib\lib\src\api\firebase\core\search_api.dart                                                           | Dart     |          6 |          0 |          4 |         10 |
| d:\htlib\htlib\lib\src\api\firebase\diagram_api.dart                                                               | Dart     |         77 |          0 |         15 |         92 |
| d:\htlib\htlib\lib\src\api\firebase\firebase.dart                                                                  | Dart     |          6 |          0 |          1 |          7 |
| d:\htlib\htlib\lib\src\api\firebase\login_api.dart                                                                 | Dart     |         14 |          1 |          3 |         18 |
| d:\htlib\htlib\lib\src\api\firebase\renting_history_api.dart                                                       | Dart     |         57 |          1 |         15 |         73 |
| d:\htlib\htlib\lib\src\api\firebase\student_api.dart                                                               | Dart     |        135 |          1 |         22 |        158 |
| d:\htlib\htlib\lib\src\api\htlib_api.dart                                                                          | Dart     |          9 |          0 |          2 |         11 |
| d:\htlib\htlib\lib\src\controllers\librarian_controller.dart                                                       | Dart     |         34 |          0 |          9 |         43 |
| d:\htlib\htlib\lib\src\db\admin_user_db.dart                                                                       | Dart     |         31 |          0 |         11 |         42 |
| d:\htlib\htlib\lib\src\db\book_db.dart                                                                             | Dart     |         34 |          0 |         11 |         45 |
| d:\htlib\htlib\lib\src\db\config_db.dart                                                                           | Dart     |         32 |          0 |         12 |         44 |
| d:\htlib\htlib\lib\src\db\core\core_db.dart                                                                        | Dart     |         19 |          0 |          8 |         27 |
| d:\htlib\htlib\lib\src\db\core\crud_db.dart                                                                        | Dart     |          8 |          0 |          6 |         14 |
| d:\htlib\htlib\lib\src\db\diagram_db.dart                                                                          | Dart     |         50 |          0 |         13 |         63 |
| d:\htlib\htlib\lib\src\db\htlib_db.dart                                                                            | Dart     |         59 |          0 |          9 |         68 |
| d:\htlib\htlib\lib\src\db\renting_history_db.dart                                                                  | Dart     |         38 |          0 |         10 |         48 |
| d:\htlib\htlib\lib\src\db\user_db.dart                                                                             | Dart     |         32 |          0 |          9 |         41 |
| d:\htlib\htlib\lib\src\model\admin_user.dart                                                                       | Dart     |        106 |          0 |         11 |        117 |
| d:\htlib\htlib\lib\src\model\admin_user.g.dart                                                                     | Dart     |         85 |          4 |         13 |        102 |
| d:\htlib\htlib\lib\src\model\book.dart                                                                             | Dart     |        108 |          0 |         24 |        132 |
| d:\htlib\htlib\lib\src\model\book.g.dart                                                                           | Dart     |         51 |          4 |          8 |         63 |
| d:\htlib\htlib\lib\src\model\diagram_node.dart                                                                     | Dart     |         91 |          0 |          9 |        100 |
| d:\htlib\htlib\lib\src\model\diagram_node.g.dart                                                                   | Dart     |         51 |          4 |          8 |         63 |
| d:\htlib\htlib\lib\src\model\diagram_node_mode.dart                                                                | Dart     |         16 |          0 |          4 |         20 |
| d:\htlib\htlib\lib\src\model\diagram_node_mode.g.dart                                                              | Dart     |         45 |          4 |          8 |         57 |
| d:\htlib\htlib\lib\src\model\hive_id.dart                                                                          | Dart     |         25 |          0 |          3 |         28 |
| d:\htlib\htlib\lib\src\model\renting_history.dart                                                                  | Dart     |        100 |          0 |         13 |        113 |
| d:\htlib\htlib\lib\src\model\renting_history.g.dart                                                                | Dart     |         48 |          4 |          8 |         60 |
| d:\htlib\htlib\lib\src\model\user.dart                                                                             | Dart     |         93 |          0 |         18 |        111 |
| d:\htlib\htlib\lib\src\model\user.g.dart                                                                           | Dart     |         54 |          4 |          8 |         66 |
| d:\htlib\htlib\lib\src\services\admin_service.dart                                                                 | Dart     |        102 |          2 |         17 |        121 |
| d:\htlib\htlib\lib\src\services\book\diagram_node_service.dart                                                     | Dart     |        359 |          0 |         52 |        411 |
| d:\htlib\htlib\lib\src\services\book\excel_service.dart                                                            | Dart     |         61 |          5 |         12 |         78 |
| d:\htlib\htlib\lib\src\services\book_service.dart                                                                  | Dart     |        126 |          0 |         31 |        157 |
| d:\htlib\htlib\lib\src\services\core\crud_service.dart                                                             | Dart     |         11 |          0 |          8 |         19 |
| d:\htlib\htlib\lib\src\services\librarian_panel\librarian_panel_service.dart                                       | Dart     |         26 |          1 |          5 |         32 |
| d:\htlib\htlib\lib\src\services\renting_history_service.dart                                                       | Dart     |        136 |          5 |         28 |        169 |
| d:\htlib\htlib\lib\src\services\single_user_service.dart                                                           | Dart     |         22 |          0 |          6 |         28 |
| d:\htlib\htlib\lib\src\services\state_management\diagram_node_config\diagram_node_config_cubit.dart                | Dart     |         19 |          0 |          5 |         24 |
| d:\htlib\htlib\lib\src\services\state_management\diagram_node_config\diagram_node_config_cubit.freezed.dart        | Dart     |        216 |         17 |         43 |        276 |
| d:\htlib\htlib\lib\src\services\state_management\diagram_node_config\diagram_node_config_state.dart                | Dart     |          6 |          0 |          2 |          8 |
| d:\htlib\htlib\lib\src\services\state_management\diagram_notifier\diagram_bottom_bar_notifier.dart                 | Dart     |         26 |          0 |          5 |         31 |
| d:\htlib\htlib\lib\src\services\state_management\diagram_notifier\diagram_end_drawer_notifier.dart                 | Dart     |         33 |          0 |          7 |         40 |
| d:\htlib\htlib\lib\src\services\state_management\library_config\library_config_cubit.dart                          | Dart     |         21 |          0 |          7 |         28 |
| d:\htlib\htlib\lib\src\services\state_management\library_config\library_config_cubit.freezed.dart                  | Dart     |        215 |         17 |         43 |        275 |
| d:\htlib\htlib\lib\src\services\state_management\library_config\library_config_state.dart                          | Dart     |          6 |          0 |          2 |          8 |
| d:\htlib\htlib\lib\src\services\state_management\list\list_cubit.dart                                              | Dart     |         38 |          0 |         10 |         48 |
| d:\htlib\htlib\lib\src\services\state_management\list\list_cubit.freezed.dart                                      | Dart     |        302 |         20 |         57 |        379 |
| d:\htlib\htlib\lib\src\services\state_management\list\list_state.dart                                              | Dart     |          7 |          0 |          2 |          9 |
| d:\htlib\htlib\lib\src\services\user_service.dart                                                                  | Dart     |        145 |          0 |         29 |        174 |
| d:\htlib\htlib\lib\src\utils\app_config.dart                                                                       | Dart     |         18 |          0 |          2 |         20 |
| d:\htlib\htlib\lib\src\utils\class_utils.dart                                                                      | Dart     |         25 |          0 |          8 |         33 |
| d:\htlib\htlib\lib\src\utils\painter\logo.dart                                                                     | Dart     |        234 |          0 |         41 |        275 |
| d:\htlib\htlib\lib\src\utils\regexp_pattern.dart                                                                   | Dart     |         42 |         84 |         40 |        166 |
| d:\htlib\htlib\lib\src\utils\validator.dart                                                                        | Dart     |         43 |          0 |         10 |         53 |
| d:\htlib\htlib\lib\src\view\book_management\book_management_binding.dart                                           | Dart     |         43 |          0 |         10 |         53 |
| d:\htlib\htlib\lib\src\view\book_management\book_management_screen.dart                                            | Dart     |        226 |          0 |         19 |        245 |
| d:\htlib\htlib\lib\src\view\book_management\components\book_bottom_bar.dart                                        | Dart     |        100 |          0 |          5 |        105 |
| d:\htlib\htlib\lib\src\view\book_management\components\book_list_tile.dart                                         | Dart     |        113 |          0 |         11 |        124 |
| d:\htlib\htlib\lib\src\view\book_management\components\book_screen.dart                                            | Dart     |        286 |          2 |         12 |        300 |
| d:\htlib\htlib\lib\src\view\book_management\components\classify_book\classify_book_more_info_screen.dart           | Dart     |         83 |          0 |          7 |         90 |
| d:\htlib\htlib\lib\src\view\book_management\components\classify_book\classify_book_screen.dart                     | Dart     |         57 |          0 |          6 |         63 |
| d:\htlib\htlib\lib\src\view\book_management\components\classify_book\classify_book_tile.dart                       | Dart     |         89 |          0 |          7 |         96 |
| d:\htlib\htlib\lib\src\view\book_management\components\dialog\adding_book_dialog.dart                              | Dart     |        458 |          5 |         22 |        485 |
| d:\htlib\htlib\lib\src\view\book_management\components\shortcut\shortcut_renting_history_book_page.dart            | Dart     |         28 |          0 |          5 |         33 |
| d:\htlib\htlib\lib\src\view\book_management\components\shortcut\shortcut_user_book_page.dart                       | Dart     |         21 |          0 |          5 |         26 |
| d:\htlib\htlib\lib\src\view\book_management\components\widgets\book_element_tile.dart                              | Dart     |         95 |          0 |          7 |        102 |
| d:\htlib\htlib\lib\src\view\book_management\library_diagrams\components\diagram_end_drawer.dart                    | Dart     |        285 |          0 |          9 |        294 |
| d:\htlib\htlib\lib\src\view\book_management\library_diagrams\components\diagram_title.dart                         | Dart     |        236 |          0 |         12 |        248 |
| d:\htlib\htlib\lib\src\view\book_management\library_diagrams\components\htlib_bottom_bar.dart                      | Dart     |        143 |          0 |          8 |        151 |
| d:\htlib\htlib\lib\src\view\book_management\library_diagrams\library_diagrams_page.dart                            | Dart     |        198 |          0 |         12 |        210 |
| d:\htlib\htlib\lib\src\view\book_management\library_diagrams\model\library_config.dart                             | Dart     |         24 |          0 |          7 |         31 |
| d:\htlib\htlib\lib\src\view\book_management\printing\book_card_pdf_widget.dart                                     | Dart     |         53 |          0 |          4 |         57 |
| d:\htlib\htlib\lib\src\view\book_management\printing\book_list_printing_screen.dart                                | Dart     |         65 |          0 |         11 |         76 |
| d:\htlib\htlib\lib\src\view\book_management\printing\book_printing_screen.dart                                     | Dart     |         56 |          0 |         12 |         68 |
| d:\htlib\htlib\lib\src\view\book_management\printing\book_printing_util.dart                                       | Dart     |         13 |          0 |          3 |         16 |
| d:\htlib\htlib\lib\src\view\home\home_binding.dart                                                                 | Dart     |          3 |          0 |          3 |          6 |
| d:\htlib\htlib\lib\src\view\home\home_screen.dart                                                                  | Dart     |        303 |          0 |          9 |        312 |
| d:\htlib\htlib\lib\src\view\librarian_panel\add_mornitor_dialog.dart                                               | Dart     |        479 |          0 |         19 |        498 |
| d:\htlib\htlib\lib\src\view\librarian_panel\librarian_bottom_bar.dart                                              | Dart     |         28 |          0 |          4 |         32 |
| d:\htlib\htlib\lib\src\view\librarian_panel\librarian_panel.dart                                                   | Dart     |        267 |          0 |          8 |        275 |
| d:\htlib\htlib\lib\src\view\librarian_panel\mornitor_card.dart                                                     | Dart     |         35 |          0 |          5 |         40 |
| d:\htlib\htlib\lib\src\view\librarian_panel\mornitor_section.dart                                                  | Dart     |        206 |          0 |         11 |        217 |
| d:\htlib\htlib\lib\src\view\librarian_panel\profile_section.dart                                                   | Dart     |         79 |          0 |          5 |         84 |
| d:\htlib\htlib\lib\src\view\login_screen.dart                                                                      | Dart     |        200 |          0 |         11 |        211 |
| d:\htlib\htlib\lib\src\view\mornitor_panel\mornitor_panel.dart                                                     | Dart     |        229 |          0 |          8 |        237 |
| d:\htlib\htlib\lib\src\view\renting_history_management\components\dialog\adding_renting_history_dialog.dart        | Dart     |        526 |          4 |         49 |        579 |
| d:\htlib\htlib\lib\src\view\renting_history_management\components\dialog\scanner_screen.dart                       | Dart     |         75 |          0 |          3 |         78 |
| d:\htlib\htlib\lib\src\view\renting_history_management\components\dialog\widgets\date_picker_widget.dart           | Dart     |         58 |          0 |          6 |         64 |
| d:\htlib\htlib\lib\src\view\renting_history_management\components\dialog\widgets\user_field.dart                   | Dart     |        190 |          0 |          9 |        199 |
| d:\htlib\htlib\lib\src\view\renting_history_management\components\renting_history_bottom_bar.dart                  | Dart     |         35 |          0 |          5 |         40 |
| d:\htlib\htlib\lib\src\view\renting_history_management\components\renting_history_grid_tile.dart                   | Dart     |        240 |          0 |         17 |        257 |
| d:\htlib\htlib\lib\src\view\renting_history_management\components\renting_history_list_tile.dart                   | Dart     |        103 |          0 |          7 |        110 |
| d:\htlib\htlib\lib\src\view\renting_history_management\components\renting_history_screen.dart                      | Dart     |        240 |          1 |         10 |        251 |
| d:\htlib\htlib\lib\src\view\renting_history_management\components\shortcut\shortcut_book_renting_history_page.dart | Dart     |         24 |          0 |          5 |         29 |
| d:\htlib\htlib\lib\src\view\renting_history_management\components\shortcut\shortcut_user_renting_history_page.dart | Dart     |         25 |          0 |          4 |         29 |
| d:\htlib\htlib\lib\src\view\renting_history_management\renting_history_management_binding.dart                     | Dart     |          2 |          0 |          2 |          4 |
| d:\htlib\htlib\lib\src\view\renting_history_management\renting_history_management_screen.dart                      | Dart     |        185 |          0 |         18 |        203 |
| d:\htlib\htlib\lib\src\view\settings\components\setting_bottom_bar.dart                                            | Dart     |         34 |          0 |          5 |         39 |
| d:\htlib\htlib\lib\src\view\settings\components\setting_section.dart                                               | Dart     |        151 |          0 |          7 |        158 |
| d:\htlib\htlib\lib\src\view\settings\setting_screen.dart                                                           | Dart     |         86 |          0 |         12 |         98 |
| d:\htlib\htlib\lib\src\view\single_user\single_user_screen.dart                                                    | Dart     |         19 |          0 |          5 |         24 |
| d:\htlib\htlib\lib\src\view\user_management\components\dialog\adding_user_dialog.dart                              | Dart     |        424 |          2 |         21 |        447 |
| d:\htlib\htlib\lib\src\view\user_management\components\shortcut\shortcut_book_user_page.dart                       | Dart     |         24 |          0 |          5 |         29 |
| d:\htlib\htlib\lib\src\view\user_management\components\user_bottom_bar.dart                                        | Dart     |         39 |          0 |          5 |         44 |
| d:\htlib\htlib\lib\src\view\user_management\components\user_grid_tile.dart                                         | Dart     |        122 |          0 |          5 |        127 |
| d:\htlib\htlib\lib\src\view\user_management\components\user_list_tile.dart                                         | Dart     |         77 |          0 |          6 |         83 |
| d:\htlib\htlib\lib\src\view\user_management\components\user_screen.dart                                            | Dart     |        339 |          0 |         14 |        353 |
| d:\htlib\htlib\lib\src\view\user_management\printing\user_printing_screen.dart                                     | Dart     |        202 |         30 |         13 |        245 |
| d:\htlib\htlib\lib\src\view\user_management\printing\user_select_printing_screen.dart                              | Dart     |        100 |          3 |          6 |        109 |
| d:\htlib\htlib\lib\src\view\user_management\user_management_binding.dart                                           | Dart     |         44 |          0 |         11 |         55 |
| d:\htlib\htlib\lib\src\view\user_management\user_management_screen.dart                                            | Dart     |        215 |          0 |         17 |        232 |
| d:\htlib\htlib\lib\src\widget\htlib_sliver_app_bar.dart                                                            | Dart     |         63 |          2 |          4 |         69 |
| d:\htlib\htlib\lib\src\widget\qr_scanner_dialog.dart                                                               | Dart     |         55 |          2 |         10 |         67 |
| d:\htlib\htlib\lib\styles.dart                                                                                     | Dart     |        130 |          5 |         70 |        205 |
| d:\htlib\htlib\lib\theme.dart                                                                                      | Dart     |        122 |          3 |         10 |        135 |
| Total                                                                                                              |          |     14,120 |        487 |      1,787 |     16,394 |
+--------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
